"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50"
"11",0,0.0681187273115524,0,0,0,0.167200512491992,0.000427076660260517,0.00298953662182362,0.00640614990390775,0.0104633781763827,0,0.0862694853726244,0,0.0909673286354901,0,0,0.00427076660260517,0.0237027546444587,0,0,0.0140935297885971,0.0486867392696989,0,0,0,0,0,0.00170830664104207,0.12427930813581,0.00170830664104207,0.000640614990390775,0.0277599829169336,0,0,0.0580824257954303,0.00747384155455904,0.000213538330130258,0.00192184497117233,0,0,0.0418535127055306,0.00149476831091181,0,0.0550928891736067,0,0.0100363015161221,0.117232543241512,0.0125987614776852,0.0143070681187273,0
"12",0,0,0,0,0.000540394487976223,0.000270197243988111,0,0,0.000270197243988111,0.00864631180761956,0,0.0951094298838152,0,0.111321264523102,0,0,0,0.103215347203459,0,0,0,0.0154012429073223,0.0118886787354769,0,0,0,0.0156714401513105,0.390975412050797,0.130505268846258,0,0,0.0162118346392867,0,0.000540394487976223,0.000270197243988111,0,0,0,0,0,0.0807889759524453,0,0,0.00162118346392867,0,0.000270197243988111,0.00918670629559579,0,0.00729532558767901,0
"13",0.00167384026781444,0.0908656145384983,0,0,0.336681013868962,0,0.00167384026781444,0,0,0,0,0.0781922525107604,0,0.109038737446198,0.00263032042085127,0.00310856049736968,0,0.0712577714012434,0,0,0,0.000478240076518412,0,0,0,0,0.00526064084170253,0.0258249641319943,0.0616929698708752,0.00191296030607365,0.00621712099473936,0.0164992826398852,0.00215208034433286,0,0.00119560019129603,0.00263032042085127,0,0.00215208034433286,0.000239120038259206,0,0.0923003347680536,0,0.00645624103299857,0.0210425633668101,0,0,0.0346724055475849,0.0200860832137733,0,0.0040650406504065
"14",0,0.010351966873706,0,0,0,0.0393374741200828,0,0,0.0015527950310559,0.150621118012422,0,0.0781573498964803,0,0.093167701863354,0,0,0.0031055900621118,0.0942028985507246,0,0.0134575569358178,0.0139751552795031,0.203933747412008,0,0,0.0015527950310559,0.015527950310559,0,0.0056935817805383,0.0693581780538302,0.0025879917184265,0.0010351966873706,0.0315734989648033,0,0,0.0005175983436853,0,0,0,0,0,0.0357142857142857,0,0,0.0476190476190476,0,0.0005175983436853,0.0388198757763975,0.0077639751552795,0.0320910973084886,0.0077639751552795
"15",0.0271172298706717,0.0114726741760534,0,0,0,0,0.0148101793909053,0,0.000417188151856487,0,0,0.0456821026282854,0.00104297037964122,0.156028368794326,0,0,0,0.0435961618690029,0.489570296203588,0,0.00438047559449312,0.00125156445556946,0.00375469336670839,0,0,0.000625782227784731,0,0,0.000208594075928244,0,0.000208594075928244,0,0.000208594075928244,0,0.0123070504797664,0.00146015853149771,0,0.000625782227784731,0,0,0.120984564038381,0,0.00709219858156028,0.0258656654151022,0,0,0.0110554860241969,0.00750938673341677,0.0127242386316229,0
"16",0,0.42212518195051,0,0,0,0,0,0.00524017467248908,0,0,0,0.1254730713246,0.0125181950509461,0.0954876273653566,0,0.00174672489082969,0.00756914119359534,0.104221251819505,0,0,0,0.00698689956331878,0,0,0,0,0.00320232896652111,0,0.0611353711790393,0.0320232896652111,0.00582241630276565,0.00553129548762737,0,0,0.0142649199417758,0.000291120815138282,0,0.00640465793304221,0.000873362445414847,0,0.0570596797671034,0,0,0.0101892285298399,0,0,0.0066957787481805,0.0139737991266376,0,0.00116448326055313
"17",0,0,0,0.459327120518086,0,0,0,0,0,0,0,0.00552835255093982,0.000157952930026852,0.0946138050860843,0,0,0,0,0,0,0,0.101247828147212,0,0,0,0,0,0,0.000157952930026852,0,0.0203759279734639,0,0,0,0.0137419049123361,0.00126362344021482,0,0,0,0,0.038382561996525,0,0,0.02558837466435,0,0,0.0868741115147686,0.00931922287158427,0.0113726109619333,0.132048649502448
"18",0,0,0.00703674745895231,0,0,0,0.00234558248631744,0,0.00508209538702111,0,0,0.0781860828772478,0,0.126661454261142,0.000390930414386239,0,0,0.173964034401876,0,0,0,0.0668491008600469,0.00703674745895231,0.0226739640344019,0.019546520719312,0,0.000781860828772478,0.329163408913213,0.0320562939796716,0,0,0.0418295543393276,0,0,0.00586395621579359,0,0,0,0,0,0.0469116497263487,0,0,0.00508209538702111,0,0,0.0199374511336982,0.00860046911649726,0,0
"19",0,0,0,0,0,0.0835726593911545,0,0,0,0.020964962665135,0,0.114589316484779,0,0.149626651349799,0,0,0.15393452039058,0.0605973578403217,0,0,0,0.111430212521539,0.000861573808156232,0,0,0,0,0.000861573808156232,0.0712234348075819,0,0.00143595634692705,0,0,0,0.000861573808156232,0.00172314761631246,0,0,0,0,0.0528431935669156,0,0,0.0310166570936244,0,0,0.0947731188971855,0.0117748420448018,0.0201033888569787,0.0178058587018955
"20",0.000464037122969838,0,0,0,0,0,0,0,0,0.00394431554524362,0,0.0904872389791183,0,0.149187935034803,0,0,0.000928074245939675,0.0482598607888631,0,0,0,0.0707656612529002,0,0,0,0,0,0.00139211136890951,0.0596287703016241,0.000928074245939675,0,0,0,0,0.00162412993039443,0,0,0.409744779582367,0,0,0.0983758700696056,0,0,0.0561484918793504,0,0,0.00812064965197216,0,0,0
"21",0,0.00829455796075258,0,0,0.00182075662553105,0,0,0,0.00364151325106211,0.000404612583451345,0,0.242969856362533,0,0.103985433946996,0,0,0.011733764920089,0.0653449322273923,0,0,0,0.000202306291725673,0,0,0.00182075662553105,0.392474205947805,0,0,0.0523973295569492,0.00505765729314182,0,0,0,0,0.0236698361319037,0,0,0,0,0,0.032773619259559,0,0,0.024074448715355,0,0,0.00465304470969047,0.0242767550070807,0.000404612583451345,0
